Species,Num_Gen,Q10,Q90,Median
T,1,0.6026415141312765,0.8601375753309964,0.6772248005216694
F,1,0.6529432758264953,0.921088222266705,0.7462894652924624
T,2,1.466844456463902,1.695841154520253,1.5847903827474092
F,2,2.961901648053278,4.359510574166584,3.715589070930979
T,3,2.211182954438489,3.0656576746572473,2.664908114303881
F,3,2.813713096027183,3.889991717192494,3.384073722705214
