Vial_Name,Num_Gen,Arriv_Time,Start_T,Start_F,Replication,First_Addition,Second_Addition,Check_Date,Adults_T,Adults_F,Relative_Arriv_Time
1-T18-30-30-III,1,T18,30,30,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-05T00:00:00Z,20,0,-18
1-0-60-0-I,1,0,60,0,1,2023-05-21T00:00:00Z,NA,2023-07-08T00:00:00Z,40,0,0
1-0-20-40-II,1,0,20,40,2,2023-05-21T00:00:00Z,NA,2023-07-08T00:00:00Z,14,16,0
1-0-40-20-III,1,0,40,20,3,2023-05-21T00:00:00Z,NA,2023-07-08T00:00:00Z,23,4,0
1-T6-10-20-III,1,T6,10,20,3,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,7,4,-6
1-T6-15-15-II,1,T6,15,15,2,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,7,7,-6
1-T6-20-10-III,1,T6,20,10,3,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,10,2,-6
1-T12-10-20-I,1,T12,10,20,1,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,5,5,-12
1-T12-10-20-II,1,T12,10,20,2,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,7,6,-12
1-T12-10-20-III,1,T12,10,20,3,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,5,10,-12
1-T12-15-15-I,1,T12,15,15,1,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,6,2,-12
1-T12-15-15-II,1,T12,15,15,2,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,8,6,-12
1-T12-20-10-I,1,T12,20,10,1,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,11,2,-12
1-T12-20-10-II,1,T12,20,10,2,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,17,3,-12
1-T18-10-20-II,1,T18,10,20,2,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-08T00:00:00Z,3,1,-18
1-F6-15-15-I,1,F6,15,15,1,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,6,14,6
1-F6-15-15-II,1,F6,15,15,2,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,6,7,6
1-F6-20-10-I,1,F6,20,10,1,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,14,2,6
1-F6-20-10-III,1,F6,20,10,3,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-08T00:00:00Z,8,6,6
1-F12-10-20-III,1,F12,10,20,3,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,4,11,12
1-F12-15-15-I,1,F12,15,15,1,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,2,10,12
1-F12-15-15-II,1,F12,15,15,2,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,6,7,12
1-F12-15-15-III,1,F12,15,15,3,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,9,11,12
1-F12-20-10-I,1,F12,20,10,1,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,9,4,12
1-F12-20-10-III,1,F12,20,10,3,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-08T00:00:00Z,13,5,12
1-T6-20-40-III,1,T6,20,40,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,13,15,-6
1-T6-30-30-I,1,T6,30,30,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,17,8,-6
1-T6-30-30-II,1,T6,30,30,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,18,18,-6
1-T6-30-30-III,1,T6,30,30,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,22,9,-6
1-T6-40-20-I,1,T6,40,20,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,21,3,-6
1-T6-40-20-III,1,T6,40,20,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,26,5,-6
1-T12-20-40-I,1,T12,20,40,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-11T00:00:00Z,7,1,-12
1-T12-20-40-III,1,T12,20,40,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-11T00:00:00Z,17,1,-12
1-T12-30-30-II,1,T12,30,30,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-11T00:00:00Z,16,0,-12
1-T12-30-30-III,1,T12,30,30,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-11T00:00:00Z,17,0,-12
1-T12-40-20-III,1,T12,40,20,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-11T00:00:00Z,25,1,-12
1-T18-30-30-II,1,T18,30,30,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-11T00:00:00Z,18,0,-18
1-T18-40-20-I,1,T18,40,20,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-11T00:00:00Z,19,0,-18
1-F6-20-40-III,1,F6,20,40,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,9,24,6
1-F6-30-30-III,1,F6,30,30,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,13,16,6
1-F6-40-20-I,1,F6,40,20,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,14,13,6
1-F6-40-20-II,1,F6,40,20,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-11T00:00:00Z,17,8,6
1-F12-40-20-I,1,F12,40,20,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-11T00:00:00Z,17,12,12
1-T12-15-15-III,1,T12,15,15,3,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-14T00:00:00Z,9,4,-12
1-T12-20-10-III,1,T12,20,10,3,2023-05-21T00:00:00Z,2023-06-02T00:00:00Z,2023-07-14T00:00:00Z,12,2,-12
