Vial_Name,Num_Gen,Arriv_Time,Start_T,Start_F,Replication,First_Addition,Second_Addition,Check_Date,Adults_T,Adults_F,Relative_Arriv_Time
2-T6-15-15-III,2,T6,15,15,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,29,3,-6
2-T6-20-10-I,2,T6,20,10,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,42,2,-6
2-T6-20-10-III,2,T6,20,10,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,44,0,-6
2-T12-15-15-III,2,T12,15,15,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,31,1,-12
2-T12-20-10-I,2,T12,20,10,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,40,1,-12
2-T12-20-10-II,2,T12,20,10,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,38,0,-12
2-T12-20-10-III,2,T12,20,10,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,37,0,-12
2-T18-20-10-I,2,T18,20,10,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,29,0,-18
2-T18-20-10-II,2,T18,20,10,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,34,0,-18
2-T18-20-10-III,2,T18,20,10,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,42,0,-18
2-F6-10-20-II,2,F6,10,20,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,4,62,6
2-F6-10-20-III,2,F6,10,20,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,3,70,6
2-F6-20-10-I,2,F6,20,10,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,35,14,6
2-F6-20-10-III,2,F6,20,10,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-03T00:00:00Z,26,19,6
2-F12-10-20-II,2,F12,10,20,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-01T00:00:00Z,10,57,12
2-F12-10-20-III,2,F12,10,20,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,8,39,12
2-F12-15-15-I,2,F12,15,15,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-01T00:00:00Z,16,34,12
2-F12-15-15-II,2,F12,15,15,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,6,75,12
2-F12-20-10-II,2,F12,20,10,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-03T00:00:00Z,12,53,12
2-F12-20-10-III,2,F12,20,10,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-01T00:00:00Z,9,42,12
2-F18-10-20-I,2,F18,10,20,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,4,59,18
2-F18-10-20-III,2,F18,10,20,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-01T00:00:00Z,3,76,18
2-F18-15-15-I,2,F18,15,15,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,8,35,18
2-F18-15-15-II,2,F18,15,15,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,7,45,18
2-F18-15-15-III,2,F18,15,15,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-01T00:00:00Z,5,76,18
2-F18-20-10-I,2,F18,20,10,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-03T00:00:00Z,7,52,18
2-F18-20-10-III,2,F18,20,10,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-01T00:00:00Z,11,10,18
2-0-30-0-II,2,0,30,0,2,2023-06-02T00:00:00Z,NA,2023-09-06T00:00:00Z,33,0,0
2-0-30-0-III,2,0,30,0,3,2023-06-02T00:00:00Z,NA,2023-09-06T00:00:00Z,36,0,0
2-0-0-30-I,2,0,0,30,1,2023-06-02T00:00:00Z,NA,2023-09-06T00:00:00Z,0,67,0
2-0-60-0-II,2,0,60,0,2,2023-06-02T00:00:00Z,NA,2023-09-06T00:00:00Z,43,0,0
2-0-15-15-I,2,0,15,15,1,2023-05-21T00:00:00Z,NA,2023-09-06T00:00:00Z,23,10,0
2-0-15-15-II,2,0,15,15,2,2023-05-21T00:00:00Z,NA,2023-09-06T00:00:00Z,11,30,0
2-0-20-10-I,2,0,20,10,1,2023-05-21T00:00:00Z,NA,2023-09-06T00:00:00Z,30,7,0
2-0-20-10-III,2,0,20,10,3,2023-05-21T00:00:00Z,NA,2023-09-06T00:00:00Z,28,3,0
2-0-20-40-II,2,0,20,40,2,2023-05-21T00:00:00Z,NA,2023-09-06T00:00:00Z,12,30,0
2-0-40-20-III,2,0,40,20,3,2023-05-21T00:00:00Z,NA,2023-09-06T00:00:00Z,25,10,0
2-T6-40-20-II,2,T6,40,20,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-06T00:00:00Z,41,1,-6
2-T12-20-40-II,2,T12,20,40,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,31,1,-12
2-T12-20-40-III,2,T12,20,40,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,40,1,-12
2-T12-30-30-III,2,T12,30,30,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,29,3,-12
2-T12-40-20-III,2,T12,40,20,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,36,1,-12
2-T18-20-40-II,2,T18,20,40,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,35,3,-18
2-T18-20-40-III,2,T18,20,40,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,26,1,-18
2-T18-40-20-III,2,T18,40,20,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,39,1,-18
2-F6-20-40-II,2,F6,20,40,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-06T00:00:00Z,11,26,6
2-F6-40-20-II,2,F6,40,20,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-06T00:00:00Z,18,16,6
2-F6-40-20-III,2,F6,40,20,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-06T00:00:00Z,23,18,6
2-F12-20-40-I,2,F12,20,40,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,9,32,12
2-F12-20-40-II,2,F12,20,40,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,5,41,12
2-F12-20-40-III,2,F12,20,40,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,3,46,12
2-F12-30-30-I,2,F12,30,30,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,13,35,12
2-F12-30-30-III,2,F12,30,30,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,14,26,12
2-F12-40-20-II,2,F12,40,20,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,27,13,12
2-F12-40-20-III,2,F12,40,20,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-06T00:00:00Z,19,23,12
2-F18-20-40-I,2,F18,20,40,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,6,35,18
2-F18-20-40-II,2,F18,20,40,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,6,39,18
2-F18-20-40-III,2,F18,20,40,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,6,39,18
2-F18-30-30-I,2,F18,30,30,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,13,16,18
2-F18-30-30-III,2,F18,30,30,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,4,29,18
2-F18-40-20-I,2,F18,40,20,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,16,14,18
2-F18-40-20-III,2,F18,40,20,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-06T00:00:00Z,11,17,18
2-T6-10-20-I,2,T6,10,20,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-09T00:00:00Z,24,9,-6
2-F6-10-20-I,2,F6,10,20,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-09T00:00:00Z,9,53,6
2-F6-15-15-I,2,F6,15,15,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-09T00:00:00Z,19,15,6
2-F6-15-15-II,2,F6,15,15,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-09T00:00:00Z,16,49,6
2-F6-20-10-II,2,F6,20,10,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-09T00:00:00Z,24,13,6
2-F12-10-20-I,2,F12,10,20,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-09T00:00:00Z,5,51,12
2-F18-10-20-II,2,F18,10,20,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-09T00:00:00Z,6,61,18
2-F18-20-10-II,2,F18,20,10,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-09-09T00:00:00Z,12,14,18
2-0-0-30-II,2,0,0,30,2,2023-06-02T00:00:00Z,NA,2023-09-12T00:00:00Z,0,63,0
2-0-0-30-III,2,0,0,30,3,2023-06-02T00:00:00Z,NA,2023-09-12T00:00:00Z,0,83,0
2-0-60-0-I,2,0,60,0,1,2023-06-02T00:00:00Z,NA,2023-09-12T00:00:00Z,45,0,0
2-0-60-0-III,2,0,60,0,3,2023-06-02T00:00:00Z,NA,2023-09-12T00:00:00Z,42,0,0
2-0-0-60-II,2,0,0,60,2,2023-06-02T00:00:00Z,NA,2023-09-12T00:00:00Z,0,64,0
2-0-0-60-III,2,0,0,60,3,2023-06-02T00:00:00Z,NA,2023-09-12T00:00:00Z,0,58,0
2-0-10-20-III,2,0,10,20,3,2023-05-21T00:00:00Z,NA,2023-09-12T00:00:00Z,13,20,0
2-0-15-15-III,2,0,15,15,3,2023-05-21T00:00:00Z,NA,2023-09-12T00:00:00Z,23,15,0
2-F12-30-30-II,2,F12,30,30,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-12T00:00:00Z,15,20,12
2-F18-30-30-II,2,F18,30,30,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-12T00:00:00Z,11,25,18
2-F18-40-20-II,2,F18,40,20,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-12T00:00:00Z,8,16,18
2-F6-15-15-III,2,F6,15,15,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-09-14T00:00:00Z,16,25,6
2-F12-15-15-III,2,F12,15,15,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-14T00:00:00Z,7,56,12
2-F12-20-10-I,2,F12,20,10,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-09-14T00:00:00Z,9,57,12
2-0-30-0-I,2,0,30,0,1,2023-06-02T00:00:00Z,NA,2023-09-18T00:00:00Z,35,0,0
2-0-0-60-I,2,0,0,60,1,2023-06-02T00:00:00Z,NA,2023-09-18T00:00:00Z,0,50,0
2-F6-20-40-III,2,F6,20,40,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-18T00:00:00Z,11,35,6
2-F6-30-30-I,2,F6,30,30,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-18T00:00:00Z,11,25,6
2-F12-40-20-I,2,F12,40,20,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-18T00:00:00Z,22,15,12
3-F12-10-20-I,3,F12,10,20,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-24T00:00:00Z,26,2,12
3-F12-10-20-III,3,F12,10,20,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-24T00:00:00Z,12,23,12
3-0-20-40-I,3,0,20,40,1,2023-05-24T00:00:00Z,NA,2023-09-27T00:00:00Z,23,22,0
3-F18-40-20-III,3,F18,40,20,3,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-09-27T00:00:00Z,16,34,18
2-F6-40-20-I,2,F6,40,20,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-30T00:00:00Z,27,16,6
3-T12-10-20-III,3,T12,10,20,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-30T00:00:00Z,37,1,-12
3-F12-10-20-II,3,F12,10,20,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-30T00:00:00Z,7,46,12
3-F12-15-15-I,3,F12,15,15,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-30T00:00:00Z,10,58,12
3-F12-20-10-III,3,F12,20,10,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-30T00:00:00Z,6,63,12
3-F18-15-15-III,3,F18,15,15,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-30T00:00:00Z,18,15,18
3-F18-20-10-II,3,F18,20,10,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-30T00:00:00Z,6,53,18
3-F18-20-10-III,3,F18,20,10,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-09-30T00:00:00Z,12,33,18
3-0-10-20-I,3,0,10,20,1,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,19,19,0
3-0-10-20-II,3,0,10,20,2,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,20,21,0
3-0-15-15-II,3,0,15,15,2,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,26,18,0
3-0-20-40-II,3,0,20,40,2,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,17,37,0
3-0-20-40-III,3,0,20,40,3,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,23,30,0
3-0-30-30-III,3,0,30,30,3,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,28,19,0
3-0-40-20-I,3,0,40,20,1,2023-05-24T00:00:00Z,NA,2023-10-03T00:00:00Z,35,7,0
3-F6-20-40-II,3,F6,20,40,2,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-03T00:00:00Z,11,27,6
3-F6-20-40-III,3,F6,20,40,3,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-03T00:00:00Z,12,31,6
3-F6-30-30-II,3,F6,30,30,2,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-03T00:00:00Z,15,33,6
3-F6-40-20-I,3,F6,40,20,1,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-03T00:00:00Z,29,29,6
3-F12-20-40-III,3,F12,20,40,3,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-03T00:00:00Z,5,40,12
3-F12-40-20-II,3,F12,40,20,2,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-03T00:00:00Z,13,47,12
3-F18-20-40-III,3,F18,20,40,3,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-03T00:00:00Z,5,63,18
3-F18-30-30-II,3,F18,30,30,2,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-03T00:00:00Z,8,41,18
3-F18-30-30-III,3,F18,30,30,3,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-03T00:00:00Z,7,32,18
3-F18-40-20-I,3,F18,40,20,1,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-03T00:00:00Z,20,27,18
3-F18-40-20-II,3,F18,40,20,2,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-03T00:00:00Z,16,30,18
3-T6-10-20-III,3,T6,10,20,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,18,31,-6
3-T6-15-15-I,3,T6,15,15,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,42,3,-6
3-T6-15-15-II,3,T6,15,15,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,59,3,-6
3-T6-15-15-III,3,T6,15,15,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,52,0,-6
3-T6-20-10-II,3,T6,20,10,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,41,2,-6
3-T12-15-15-I,3,T12,15,15,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-06T00:00:00Z,49,3,-12
3-T12-15-15-II,3,T12,15,15,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-06T00:00:00Z,35,0,-12
3-T12-20-10-I,3,T12,20,10,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-06T00:00:00Z,64,1,-12
3-T18-10-20-II,3,T18,10,20,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,29,8,-18
3-T18-15-15-I,3,T18,15,15,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,50,3,-18
3-T18-20-10-I,3,T18,20,10,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,56,1,-18
3-T18-20-10-III,3,T18,20,10,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,42,0,-18
3-F6-10-20-I,3,F6,10,20,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,18,42,6
3-F6-15-15-II,3,F6,15,15,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-06T00:00:00Z,14,55,6
3-F12-20-10-I,3,F12,20,10,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-06T00:00:00Z,11,36,12
3-F12-20-10-II,3,F12,20,10,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-06T00:00:00Z,18,30,12
3-F18-10-20-I,3,F18,10,20,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,16,26,18
3-F18-15-15-I,3,F18,15,15,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,8,42,18
3-F18-20-10-I,3,F18,20,10,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-06T00:00:00Z,11,35,18
3-0-60-0-II,3,0,60,0,2,2023-05-30T00:00:00Z,NA,2023-10-09T00:00:00Z,68,0,0
3-0-60-0-III,3,0,60,0,3,2023-05-30T00:00:00Z,NA,2023-10-09T00:00:00Z,61,0,0
3-0-10-20-III,3,0,10,20,3,2023-05-24T00:00:00Z,NA,2023-10-11T00:00:00Z,5,48,0
3-0-15-15-III,3,0,15,15,3,2023-05-24T00:00:00Z,NA,2023-10-09T00:00:00Z,24,27,0
3-0-20-10-II,3,0,20,10,2,2023-05-24T00:00:00Z,NA,2023-10-09T00:00:00Z,36,10,0
3-0-20-10-III,3,0,20,10,3,2023-05-24T00:00:00Z,NA,2023-10-09T00:00:00Z,37,6,0
3-0-30-30-I,3,0,30,30,1,2023-05-24T00:00:00Z,NA,2023-10-09T00:00:00Z,32,14,0
3-0-40-20-II,3,0,40,20,2,2023-05-24T00:00:00Z,NA,2023-10-09T00:00:00Z,63,3,0
3-0-40-20-III,3,0,40,20,3,2023-05-24T00:00:00Z,NA,2023-10-09T00:00:00Z,51,5,0
3-T6-20-40-II,3,T6,20,40,2,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-09T00:00:00Z,54,0,-6
3-T6-20-40-III,3,T6,20,40,3,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-09T00:00:00Z,44,1,-6
3-T6-40-20-III,3,T6,40,20,3,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-09T00:00:00Z,52,0,-6
3-T12-20-40-I,3,T12,20,40,1,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-09T00:00:00Z,49,0,-12
3-T12-20-40-II,3,T12,20,40,2,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-09T00:00:00Z,33,5,-12
3-T12-20-40-III,3,T12,20,40,3,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-09T00:00:00Z,35,4,-12
3-T18-30-30-I,3,T18,30,30,1,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-09T00:00:00Z,56,0,-18
3-T18-40-20-I,3,T18,40,20,1,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-09T00:00:00Z,63,0,-18
3-T18-40-20-III,3,T18,40,20,3,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-09T00:00:00Z,50,0,-18
3-F6-30-30-III,3,F6,30,30,3,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-09T00:00:00Z,15,34,6
3-F6-40-20-III,3,F6,40,20,3,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-09T00:00:00Z,25,25,6
3-F12-40-20-III,3,F12,40,20,3,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-09T00:00:00Z,17,45,12
3-F18-20-40-II,3,F18,20,40,2,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-09T00:00:00Z,3,54,18
3-T6-20-10-I,3,T6,20,10,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,53,4,-6
3-T6-20-10-III,3,T6,20,10,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,47,2,-6
3-T12-15-15-III,3,T12,15,15,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-12T00:00:00Z,63,0,-12
3-T12-20-10-II,3,T12,20,10,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-12T00:00:00Z,39,0,-12
3-T12-20-10-III,3,T12,20,10,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-12T00:00:00Z,46,1,-12
3-T18-10-20-III,3,T18,10,20,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-12T00:00:00Z,70,1,-18
3-T18-15-15-II,3,T18,15,15,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-12T00:00:00Z,47,1,-18
3-T18-15-15-III,3,T18,15,15,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-12T00:00:00Z,40,7,-18
3-T18-20-10-II,3,T18,20,10,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-12T00:00:00Z,58,0,-18
3-F6-10-20-III,3,F6,10,20,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,10,42,6
3-F6-15-15-I,3,F6,15,15,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,21,27,6
3-F6-15-15-III,3,F6,15,15,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,13,53,6
3-F6-20-10-I,3,F6,20,10,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,27,20,6
3-F6-20-10-III,3,F6,20,10,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-10-12T00:00:00Z,15,49,6
3-F12-15-15-II,3,F12,15,15,2,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-12T00:00:00Z,8,48,12
3-F12-15-15-III,3,F12,15,15,3,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-10-12T00:00:00Z,5,55,12
3-F18-10-20-II,3,F18,10,20,2,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-12T00:00:00Z,11,33,18
3-F18-10-20-III,3,F18,10,20,3,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-10-12T00:00:00Z,8,54,18
3-0-30-0-I,3,0,30,0,1,2023-05-30T00:00:00Z,NA,2023-10-15T00:00:00Z,57,0,0
3-0-30-0-II,3,0,30,0,2,2023-05-30T00:00:00Z,NA,2023-10-15T00:00:00Z,50,0,0
3-0-30-0-III,3,0,30,0,3,2023-05-30T00:00:00Z,NA,2023-10-15T00:00:00Z,61,0,0
3-0-0-30-I,3,0,0,30,1,2023-05-30T00:00:00Z,NA,2023-10-15T00:00:00Z,0,67,0
3-0-15-15-I,3,0,15,15,1,2023-05-24T00:00:00Z,NA,2023-10-15T00:00:00Z,23,32,0
3-0-20-10-I,3,0,20,10,1,2023-05-24T00:00:00Z,NA,2023-10-15T00:00:00Z,45,3,0
3-0-30-30-II,3,0,30,30,2,2023-05-24T00:00:00Z,NA,2023-10-15T00:00:00Z,35,18,0
3-T6-20-40-I,3,T6,20,40,1,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-15T00:00:00Z,53,2,-6
3-T6-30-30-I,3,T6,30,30,1,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-15T00:00:00Z,54,0,-6
3-T6-30-30-II,3,T6,30,30,2,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-15T00:00:00Z,41,3,-6
3-T6-30-30-III,3,T6,30,30,3,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-15T00:00:00Z,50,4,-6
3-T6-40-20-I,3,T6,40,20,1,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-15T00:00:00Z,66,1,-6
3-T6-40-20-II,3,T6,40,20,2,2023-05-30T00:00:00Z,2023-06-05T00:00:00Z,2023-10-15T00:00:00Z,60,0,-6
3-T12-30-30-I,3,T12,30,30,1,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-15T00:00:00Z,60,0,-12
3-T12-30-30-II,3,T12,30,30,2,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-15T00:00:00Z,56,0,-12
3-T12-40-20-I,3,T12,40,20,1,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-15T00:00:00Z,60,0,-12
3-T12-40-20-II,3,T12,40,20,2,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-15T00:00:00Z,57,0,-12
3-T12-40-20-III,3,T12,40,20,3,2023-05-30T00:00:00Z,2023-06-11T00:00:00Z,2023-10-15T00:00:00Z,57,0,-12
3-T18-20-40-II,3,T18,20,40,2,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-15T00:00:00Z,60,3,-18
3-T18-20-40-III,3,T18,20,40,3,2023-05-30T00:00:00Z,2023-06-17T00:00:00Z,2023-10-15T00:00:00Z,45,0,-18
